station_name,show_type,show_kind_name,show_description,show_id,show_title,show_date,show_since,show_till,relation_type,show_duration_minutes,moderators
Radiožurnál,AFTERNOON,Zpravodajství,"Z domova i ze světa. Sport, Zelená vlna a počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615604,Zprávy,2023-04-01,12:30:00,12:32:09,premiéra,3,
Radiožurnál,AFTERNOON,"Magazín zprav., publicistiky a hudby","Aktuální reportáže, nejrychlejší zpravodajství a informace pro spotřebitele. Moderuje Patricie Strouhalová.",18615607,Víkendový Radiožurnál,2023-04-01,12:34:09,13:00:00,premiéra,26,Patricie Strouhalová
Radiožurnál,AFTERNOON,Zpravodajství,"Z domova i ze světa. Sport, Zelená vlna a počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615608,Zprávy,2023-04-01,13:00:00,13:03:47,premiéra,4,
Radiožurnál,AFTERNOON,"Magazín zprav., publicistiky a hudby","Aktuální reportáže, nejrychlejší zpravodajství a informace pro spotřebitele. Moderuje Patricie Strouhalová.",18615611,Víkendový Radiožurnál,2023-04-01,13:05:39,14:00:00,premiéra,55,Patricie Strouhalová
Radiožurnál,AFTERNOON,Zpravodajství,"Z domova i ze světa. Sport, Zelená vlna a počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615612,Zprávy,2023-04-01,13:30:00,13:31:45,premiéra,2,
Radiožurnál,AFTERNOON,Zpravodajství,"Z domova i ze světa. Sport, Zelená vlna a počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615615,Zprávy,2023-04-01,14:00:00,14:04:17,premiéra,5,
Radiožurnál,AFTERNOON,"Magazín zprav., publicistiky a hudby","Aktuální reportáže, nejrychlejší zpravodajství a informace pro spotřebitele. Moderuje Patricie Strouhalová.",18615618,Víkendový Radiožurnál,2023-04-01,14:05:48,15:00:00,premiéra,55,Patricie Strouhalová
Radiožurnál,AFTERNOON,Zpravodajství,"Z domova i ze světa. Sport, Zelená vlna a počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615619,Zprávy,2023-04-01,14:30:00,14:31:57,premiéra,2,
Radiožurnál,AFTERNOON,Zpravodajství,"Z domova i ze světa. Sport, Zelená vlna a počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615622,Zprávy,2023-04-01,15:00:00,15:04:42,premiéra,5,
Radiožurnál,AFTERNOON,"Magazín zprav., publicistiky a hudby","Aktuální reportáže, nejrychlejší zpravodajství a informace pro spotřebitele. Moderuje Patricie Strouhalová.",18615625,Víkendový Radiožurnál,2023-04-01,15:06:23,16:00:00,premiéra,54,Patricie Strouhalová
Radiožurnál,AFTERNOON,Publicistika,Rozhovor s Věrou Kunderovou.,18647391,Vznik nové knihovny Milana Kundery v Brně,2023-04-01,15:07:17,15:30:16,premiéra,23,
Radiožurnál,AFTERNOON,Zpravodajství,"Z domova i ze světa. Sport, Zelená vlna a počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615626,Zprávy,2023-04-01,15:30:16,15:32:06,premiéra,2,
Radiožurnál,AFTERNOON,Zpravodajství,"Z domova i ze světa. Sport, Zelená vlna a počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615629,Zprávy,2023-04-01,16:00:00,16:04:03,premiéra,5,
Radiožurnál,AFTERNOON,"Magazín zprav., publicistiky a hudby",Aktuální reportáže a nejrychlejší zpravodajství. Moderuje Michaela van Erne.,18615632,Víkendový Radiožurnál,2023-04-01,16:05:26,17:00:00,premiéra,55,Michaela van Erne
Radiožurnál,AFTERNOON,Zpravodajství,"Z domova i ze světa. Sport, Zelená vlna a počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615633,Zprávy,2023-04-01,16:30:00,16:32:07,premiéra,3,
Radiožurnál,AFTERNOON,Zpravodajství,"Z domova i ze světa. Sport, Zelená vlna a počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615636,Zprávy,2023-04-01,17:00:00,17:04:07,premiéra,5,
Radiožurnál,AFTERNOON,"Magazín zprav., publicistiky a hudby",Aktuální reportáže a nejrychlejší zpravodajství. Moderuje Michaela van Erne.,18615639,Víkendový Radiožurnál,2023-04-01,17:05:43,18:00:00,premiéra,55,Michaela van Erne
Radiožurnál,AFTERNOON,Zpravodajství,"Z domova i ze světa. Sport, Zelená vlna a počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615640,Zprávy,2023-04-01,17:30:00,17:32:04,premiéra,3,
Radiožurnál,EVENING,Zpravodajství,"Zpravodajský souhrn nejdůležitějších událostí dne. Z domova i ze světa. Sport, Zelená vlna a počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615643,Hlavní zprávy,2023-04-01,18:00:00,18:08:42,premiéra,9,
Radiožurnál,EVENING,"Magazín zprav., publicistiky a hudby",Aktuální reportáže a nejrychlejší zpravodajství. Moderuje Michaela van Erne.,18615646,Víkendový Radiožurnál,2023-04-01,18:10:05,19:00:00,premiéra,50,Michaela van Erne
Radiožurnál,EVENING,Zpravodajství,"Z domova i ze světa. Sport, Zelená vlna a počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615647,Zprávy,2023-04-01,18:30:00,18:32:05,premiéra,3,
Radiožurnál,EVENING,Zpravodajství,"Z domova i ze světa. Sport, Zelená vlna a počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615650,Zprávy,2023-04-01,19:00:00,19:04:12,premiéra,5,
Radiožurnál,EVENING,"Magazín zprav., publicistiky a hudby",Aktuální reportáže a nejrychlejší zpravodajství. Moderuje Michaela van Erne.,18615653,Víkendový Radiožurnál,2023-04-01,19:05:29,20:00:00,premiéra,55,Michaela van Erne
Radiožurnál,EVENING,Zpravodajství,"Z domova i ze světa. Sport, Zelená vlna a počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615654,Zprávy,2023-04-01,19:30:00,19:32:15,premiéra,3,
Radiožurnál,EVENING,Zpravodajství,"Z domova i ze světa. Sport, Zelená vlna a počasí. O dopravní situaci informujte na bezplatné lince 800 553 553.",18615657,Zprávy,2023-04-01,20:00:00,20:05:04,premiéra,6,
Radiožurnál,EVENING,Publicistika,,18615660,O Roma vakeren,2023-04-01,20:06:29,20:30:00,premiéra,24,
